#true velocity is one unknown for t < 0.5 and another unknown for t >= 0.5
T,X,u
0.6230171,0.3082111,0.34217662
0.2177788,0.51147056,0.0
0.08543408,0.8415222,0.0
0.9363247,0.76109314,0.0
0.4835192,-0.3004539,1.0
0.70603216,-0.15749383,1.0
0.9634839,0.90732956,0.0
0.8144808,-0.14580321,0.90560734
0.5031476,-0.8449421,1.0
0.68341064,0.6492796,0.0
0.24282587,0.9681535,0.0
0.93137753,0.7091291,0.0
0.71476996,0.3653257,0.0
0.5005022,-0.9161775,1.0
0.8135396,0.61289096,0.0
0.8761374,0.33589554,0.0
0.67552173,-0.9351587,1.0
0.444924,-0.074832916,1.0
0.2212063,-0.92273927,1.0
0.56052136,-0.5763054,1.0
0.8328543,-0.25434136,1.0
0.8618549,0.7126317,0.0
0.27771068,0.9732735,0.0
0.97115135,0.32577515,0.0
0.22644186,0.16817665,0.0
0.15757799,-0.7277031,1.0
0.4189366,-0.625767,1.0
0.1900047,-0.7779827,1.0
0.92901325,0.3228457,0.0
0.59002113,0.6870334,0.0
0.2564155,0.82604814,0.0
0.32810354,-0.8574929,1.0
0.75651336,0.9642,0.0
0.7207538,0.17507672,0.29477143
0.55482936,-0.911803,1.0
0.4927162,0.25698042,0.98860204
0.84937775,-0.6219199,1.0
0.7989868,0.08220148,0.21385625
0.9905344,-0.3661046,0.7849537
0.5142784,-0.42794943,1.0
0.52989864,0.86554337,0.0
0.08387363,0.43412924,0.0
0.057828903,-0.26199603,0.0
0.24978423,-0.23652077,0.7215934
0.18413627,-0.2481947,0.18091932
0.33721495,-0.8052695,1.0
0.11677456,0.56916857,0.0
0.5301151,0.20999312,0.99950397
0.038465142,0.56389,0.0
0.0633409,-0.2888639,0.0
0.40482223,-0.11961007,1.0
0.24953318,0.8604152,0.0
0.8406558,0.8388331,0.0
0.30695474,0.75963616,0.0
0.19156146,0.6674199,0.0
0.09062338,-0.85894465,1.0
0.844133,-0.95799017,1.0
0.33436334,0.8876929,0.0
0.7798734,0.953212,0.0
0.28705502,-0.602092,1.0
0.21545613,0.9797795,0.0
0.24872315,0.28024387,0.0
0.34187794,-0.9317515,1.0
0.26167,-0.032116413,0.11953688
0.058288097,0.22215152,0.0
0.9568287,0.39640713,0.0
0.039536,0.58163714,0.0
0.5282389,0.70605826,0.0
0.8736292,0.92803097,0.0
0.8464345,-0.3300569,1.0
0.7804656,0.70153713,0.0
0.062132597,-0.91751814,1.0
0.57727444,0.8123355,0.0
0.7201928,0.20623636,0.19577259
0.36498082,0.91129684,0.0
0.97598624,-0.3882258,0.9059862
0.39131284,-0.74048257,1.0
0.5275183,0.15273428,1.0
0.924901,-0.46884227,1.0
0.73001623,-0.5942631,1.0
0.62758374,0.050238848,1.0
0.4803325,-0.813936,1.0
0.67105365,-0.057084084,1.0
0.35539424,-0.69135857,1.0
0.7036922,0.018004179,0.9110205
0.8207892,-0.96077824,1.0
0.040956974,-0.04797721,0.0
0.9306481,0.29881597,0.0
0.028243303,0.86193395,0.0
0.85941124,-0.65367246,1.0
0.16666389,-0.567538,0.9954412
0.7157059,-0.424721,1.0
0.1938206,0.61151457,0.0
0.52911806,0.640074,0.0
0.34084237,0.105731964,0.30372155
0.15610063,0.13383532,0.0
0.6248151,0.80767345,0.0
0.69579816,-0.5410209,1.0
0.5063062,-0.642045,1.0
0.09575796,-0.44940758,0.12597632
0.7063879,-0.8245497,1.0
0.5702325,0.90281296,0.0
0.1048491,0.3908012,0.0
0.69471264,-0.042265415,1.0
0.6329671,0.274302,0.41134602
0.5817983,0.9388139,0.0
0.8442091,0.85022664,0.0
0.19341552,0.06576371,0.0
0.8921803,0.74695754,0.0
0.013934135,0.6075077,0.0
0.07556403,-0.15437841,0.0
0.15268958,0.430753,0.0
0.15239286,-0.46965957,0.6858479
0.71432495,-0.6325784,1.0
0.9271035,0.22970414,0.0
0.29717648,0.051199675,0.13368005
0.49347126,0.15469074,1.0
0.4055302,-0.23976731,1.0
0.98157537,-0.7224965,1.0
0.7758601,0.432472,0.0
0.96525025,-0.8220484,1.0
0.5186268,0.18321943,1.0
0.9556111,0.7054696,0.0
0.933084,-0.9114845,1.0
0.021088958,0.8606281,0.0
0.4890015,-0.10675979,1.0
0.45974576,-0.24148488,1.0
0.97295487,0.45530677,0.0
0.90069056,-0.33049154,0.99235725
0.9850322,0.55786204,0.0
0.64198244,-0.82176137,1.0
0.5200803,0.7999754,0.0
0.63221097,-0.39420652,1.0
0.97140336,0.33335352,0.0
0.043343067,-0.23242974,0.0
0.25981987,-0.09086418,0.28316322
0.49025583,0.42501044,0.5023593
0.9177737,-0.73719025,1.0
0.58138454,0.26874185,0.7154528
0.97850966,-0.3831904,0.8847898
0.7831868,0.67901516,0.0
0.29377532,-0.2694037,1.0
0.32330036,0.008579254,0.4987687
0.489797,0.54124093,0.11192179
0.10446024,-0.98435473,1.0
0.40165877,0.6914053,0.0
0.38085818,-0.5601015,1.0
0.9885317,0.92836094,0.0
0.86691177,0.039114714,0.061743468
0.5144861,0.9708748,0.0
0.5113267,-0.08960295,1.0
0.06396687,-0.002881527,0.0
0.9799838,-0.70686436,1.0
0.9540715,-0.040547848,0.0016447604
0.43675518,-0.3816738,1.0
0.30100036,0.0723393,0.10438812
0.8029804,0.097011805,0.15210137
0.803283,-0.06614685,0.72241294
0.80234754,-0.19546151,0.9987984
0.0960753,0.22516322,0.0
0.13239336,-0.7032008,1.0
0.20886922,-0.35759807,0.7832786
0.5600908,0.26152134,0.83906263
0.8319695,-0.68141913,1.0
0.9251963,0.9019687,0.0
0.6485294,0.87288404,0.0
0.7465818,0.17377853,0.17447582
0.23209167,-0.49074173,1.0
0.5662383,0.7410376,0.0
0.1336062,0.4405365,0.0
0.6474974,-0.903532,1.0
0.07241452,-0.17664766,0.0
0.7219225,-0.55289316,1.0
0.35622036,0.7346728,0.0
0.4446286,0.06617236,1.0
0.38171685,-0.895668,1.0
0.21719968,0.17373347,0.0
0.011633396,-0.2951703,0.0
0.86490715,0.1283164,0.0
0.79364395,-0.394459,1.0
0.2310319,0.10492182,0.0
0.24373722,0.14618397,0.0
0.82841706,0.013394833,0.29541743
0.5564399,-0.6154654,1.0
0.6575357,0.018292427,0.99960697
0.75354016,0.2836306,0.0
0.9972528,0.95572376,0.0
0.5224366,-0.85728955,1.0
0.71949303,-0.30679727,1.0
0.48264182,0.030466557,1.0
0.518711,0.46652675,0.33554685
0.26002502,-0.3234055,0.98738474
0.48564065,0.7431226,0.0
0.9427234,-0.36678243,0.96135366
0.41652012,0.7628279,0.0
0.6000922,0.57219386,0.0
0.46858633,-0.9714632,1.0
0.5409126,0.93886256,0.0
0.86920977,-0.48906255,1.0
0.41990793,0.2293868,0.5761719
0.9098704,-0.16495514,0.5005609
0.1269058,-0.012901306,0.0
0.18983746,-0.63871646,1.0
0.70954657,-0.7568743,1.0
0.7596222,0.5498347,0.0
0.1746074,0.61157775,0.0
0.83732176,0.6948452,0.0
0.8615501,0.50040865,0.0
0.7386575,-0.69051766,1.0
0.1641941,-0.44835162,0.71427333
0.005862355,0.46883082,0.0
0.61430514,0.44630742,0.018436104
0.5502982,0.16905165,1.0
0.44684076,0.055305243,1.0
0.82643104,-0.37591338,1.0
0.28587842,-0.14593458,0.7203998
0.12648606,0.06985593,0.0
0.39164424,0.60958004,0.0
0.71238387,-0.2309382,1.0
0.82648325,0.7218983,0.0
0.57160854,-0.34071898,1.0
0.70249593,-0.041279554,0.99714756
0.8296777,-0.054526806,0.5375071
0.9938332,0.118237734,0.0
0.15221107,-0.78304243,1.0
0.13167953,-0.14624405,0.0
0.98408175,0.8506799,0.0
0.6798253,0.15779567,0.58389455
0.35163736,0.25588274,0.00971055
0.6694889,0.88815856,0.0
0.3275175,0.5032706,0.0
