#true velocity = 1.2
T,X,u
0.9683453,-0.7852075,1.0
0.8520832,-0.7647059,1.0
0.06705952,0.73544216,0.0
0.33767378,-0.86444736,1.0
0.7125602,-0.83539104,1.0
0.40258932,-0.14033079,0.009897739
0.69156444,0.7492001,0.0
0.040536642,-0.13929462,0.0
0.08072746,0.7884402,0.0
0.39307845,0.006307602,0.0
0.22862291,0.7159035,0.0
0.026493788,-0.07621026,0.0
0.11638188,0.69074154,0.0
0.5159329,-0.030624628,0.04254991
0.11524665,-0.88701606,1.0
0.43113124,0.44973636,0.0
0.42797208,-0.8126569,1.0
0.08253372,-0.7350273,0.6265185
0.17807817,-0.16054702,0.0
0.6739527,0.36169195,0.0
0.18363583,-0.074986935,0.0
0.8891133,-0.93302894,1.0
0.76841915,-0.7624848,1.0
0.84332085,0.6433425,0.0
0.21419644,-0.7221737,0.9921762
0.1441766,-0.69760776,0.7538178
0.9172467,0.40428877,0.14626804
0.4434513,-0.59938645,1.0
0.31393778,0.6758058,0.0
0.604352,-0.39169097,1.0
0.20379186,0.38062072,0.0
0.43692684,0.55205727,0.0
0.87875617,0.001991272,1.0
0.8857589,-0.19781232,1.0
0.2915014,0.42228985,0.0
0.79890776,-0.36500692,1.0
0.9320595,0.5891051,0.0
0.60056126,0.25153255,0.0
0.22103739,-0.9240811,1.0
0.124189496,0.056736708,0.0
0.7486172,0.6154251,0.0
0.8902749,0.7604258,0.0
0.55091155,0.07254791,0.0
0.6395192,0.79073954,0.0
0.3998897,-0.9847076,1.0
0.16098726,0.33670473,0.0
0.16613483,-0.53893065,0.27593958
0.055347443,0.36163974,0.0
0.84835124,-0.6692443,1.0
0.051299572,-0.93453,0.9997151
0.72174,0.8937094,0.0
0.42437696,-0.4136622,0.90289867
0.89897346,0.81737614,0.0
0.98021007,-0.7100885,1.0
0.8856411,0.88673043,0.0
0.042332172,0.23136091,0.0
0.08191395,-0.9776931,1.0
0.77364755,0.57071877,0.0
0.4253112,-0.5026951,1.0
0.35290527,0.74520016,0.0
0.5302769,0.67169785,0.0
0.7761165,-0.994401,1.0
0.8573195,0.18793797,0.651041
0.3739617,-0.7888806,1.0
0.3996266,-0.8583915,1.0
0.6379473,-0.38863945,1.0
0.96134806,0.5535004,2.3841858e-07
0.40535998,0.618525,0.0
0.4616052,0.23726392,0.0
0.31727672,0.26195383,0.0
0.8107451,0.4956448,0.0
0.23137188,-0.9593885,1.0
0.36215568,-0.80479765,1.0
0.19876683,-0.26407146,0.0
0.90329885,-0.8724525,1.0
0.22018743,0.6111815,0.0
0.92189956,0.5455611,0.0
0.91347134,-0.05511093,1.0
0.7635257,-0.080485106,0.9997989
0.73503983,0.53947353,0.0
0.6752666,-0.1379466,0.95414525
0.08609748,0.29340625,0.0
0.7440511,0.74064565,0.0
0.5377693,-0.9120724,1.0
0.74075353,0.13759518,0.32101652
0.18519688,-0.37837195,6.914139e-06
0.052250385,0.35520506,0.0
0.19439054,0.20128202,0.0
0.1117928,-0.66718435,0.50500876
0.33545732,0.50318384,0.0
0.71586454,-0.29384375,1.0
0.103793025,0.61706996,0.0
0.57655776,0.55113935,0.0
0.65755236,-0.08301473,0.7585892
0.89322233,0.9047711,0.0
0.38919294,-0.694046,1.0
0.5609739,0.03387761,0.027050436
0.39091456,0.5886774,0.0
0.12078655,0.98858905,0.0
0.6018679,0.38657188,0.0
0.9263675,0.5899279,0.0
0.6679467,0.18614626,0.0043269694
0.8805585,0.37589455,0.10586831
0.80633247,0.5863991,0.0
0.25308943,0.7461927,0.0
0.13608432,0.007221222,0.0
0.044426203,0.6605351,0.0
0.099782705,0.30868506,0.0
0.099594355,-0.70488834,0.5910518
0.16607678,0.51784015,0.0
0.50318015,-0.31167793,0.8849604
0.783463,0.94533086,0.0
0.52605915,-0.86747146,1.0
0.28729796,0.8090894,0.0
0.037389398,-0.18606782,0.0
0.30781937,0.44778204,0.0
0.8602067,-0.9753883,1.0
0.23518634,0.19627953,0.0
0.757252,-0.23356986,1.0
0.13938129,0.4802854,0.0
0.6631726,0.3004353,0.0
0.73777425,-0.58273697,1.0
0.27890384,0.15101194,0.0
0.0132085085,0.6260221,0.0
0.6128814,0.28697562,0.0
0.72167885,-0.39562154,1.0
0.32146657,-0.5859494,0.9857008
0.38631403,0.7139466,0.0
0.9579505,-0.2905624,1.0
0.40807867,-0.39376807,0.79481566
0.3904395,-0.25849319,0.2384738
0.9529073,-0.32825828,1.0
0.64098096,0.8890593,0.0
0.0044698715,-0.8615508,0.7415669
0.34907413,-0.97477126,1.0
0.17178512,-0.46520138,0.0840877
0.64931214,0.30678058,0.0
0.8951702,0.27570271,0.49438116
0.32918608,0.13798213,0.0
0.19033456,0.3950262,0.0
0.5820409,-0.011337519,0.1846436
0.31245506,0.46563458,0.0
0.61781645,0.6433246,0.0
0.5771179,0.5043998,0.0
0.72210824,0.03522086,0.61644995
0.1939702,0.54634047,0.0
0.53833866,-0.6094496,1.0
0.35009646,-0.2139728,0.020550221
0.9712863,-0.8981607,1.0
0.38989902,-0.6757126,1.0
0.89645123,-0.7424896,1.0
0.88697326,-0.9335902,1.0
0.6453577,-0.15031862,0.9071381
0.795429,-0.6135833,1.0
0.85433817,-0.615788,1.0
0.74309313,-0.4848094,1.0
0.3516842,-0.0052661896,0.0
0.7296113,-0.532367,1.0
0.495031,0.13155913,0.0
0.6588533,-0.11837506,0.8682778
0.042556643,-0.9702785,1.0
0.7924789,-0.20279908,1.0
0.39289725,0.5040896,0.0
0.08390069,-0.7650411,0.73758614
0.38280702,0.7486813,0.0
0.3557905,-0.97037315,1.0
0.9603809,0.61837316,0.0
0.7310536,-0.76256204,1.0
0.3799101,0.82974744,0.0
0.4802686,-0.02958703,0.0006483197
0.31688786,0.98825693,0.0
0.58464015,-0.13867688,0.64888203
0.004374504,-0.586066,0.0
0.54140866,-0.07302785,0.22461724
0.64994943,-0.83643174,1.0
0.21594357,0.073877335,0.0
0.82490206,0.19226575,0.49106336
0.68154526,0.74387646,0.0
0.39313197,-0.47737026,0.95559096
0.8914671,0.7548671,0.0
0.18407726,0.07211256,0.0
0.067334175,-0.93632174,1.0
0.49738276,-0.0017297268,0.0
0.4986056,-0.9534049,1.0
0.14678216,0.58167315,0.0
0.89607775,0.097586155,0.9910281
0.8143563,0.7764611,0.0
0.13891494,-0.72424316,0.8175257
0.11707294,0.6206012,0.0
0.7022909,0.50683427,0.0
0.3273995,0.18116856,0.0
0.08627534,-0.8213997,0.9075551
0.43781686,-0.7091613,1.0
0.7083888,0.9771097,0.0
0.076398134,0.4109664,0.0
0.35272813,0.05644226,0.0
0.17002547,-0.1364212,0.0
0.98031735,0.7834735,0.0
0.68297553,0.56412005,0.0
0.058900356,0.30968285,0.0
0.26713598,0.96323633,0.0
0.90092564,-0.91455865,1.0
0.77483475,0.14032865,0.46056065
0.43339443,0.6707485,0.0
0.061121106,-0.89503956,0.9822466
0.6629119,0.77678967,0.0
0.7626339,0.6119077,0.0
0.140903,0.32542992,0.0
0.6964003,0.0022580624,0.62416697
0.7456497,0.9752083,0.0
0.72044504,-0.7032161,1.0
0.7136682,0.64891124,0.0
0.12919581,0.96936107,0.0
0.92248654,0.46073484,0.037014365
0.27637792,-0.7530937,1.0
0.71561205,-0.36067462,1.0
0.50586224,-0.27133274,0.77883756
0.64477324,-0.7572415,1.0
0.093493104,0.8875513,0.0
0.6882864,0.34417725,0.0
0.7602103,-0.22825146,1.0
0.5831008,0.20345712,0.0
0.70396066,0.7925732,0.0
0.38196063,-0.77519655,1.0
0.66613495,-0.23678136,1.0
0.29330695,-0.14217567,0.0
0.46956336,0.25464988,0.0
0.69326556,-0.9212587,1.0
0.0045946836,0.15746593,0.0
0.10621059,-0.40727878,0.0
0.47586894,0.45052242,0.0
0.33601582,-0.25204158,0.051983982
0.09246814,0.65451884,0.0
0.23167217,0.4449396,0.0
0.5711628,0.23551679,0.0
0.8832314,0.5947428,0.0
0.20699191,0.53498054,0.0
0.7696166,0.38316202,0.0
0.07777524,-0.2808044,0.0
0.25516045,-0.32241464,0.014612824
0.7827325,-0.7614753,1.0
0.95620215,-0.9748273,1.0
0.5274117,-0.957412,1.0
0.9968002,-0.43004012,1.0
0.46855652,-0.44838834,1.0
0.22079444,0.2924254,0.0
0.9454291,0.88788676,0.0
0.11297262,0.5721953,0.0
0.25583625,-0.6586218,0.97911394
0.70079494,0.772872,0.0
0.7743002,0.5546026,0.0
0.96701515,-0.27779913,1.0
0.3709154,-0.8767965,1.0
0.4220667,0.43535042,0.0
0.58068097,0.7621701,0.0
0.41721487,-0.7810898,1.0
0.119936824,0.36566854,0.0
0.3936932,0.5177622,0.0
0.58589244,-0.38358736,1.0
0.69046235,-0.640887,1.0
0.54161847,-0.22990346,0.78351355
0.47621715,-0.29735184,0.74786425
0.100661874,0.48542356,0.0
0.47052455,-0.8150804,1.0
0.24192333,-0.59067893,0.7871015
0.057254672,-0.21610165,0.0
0.3831092,0.938988,0.0
0.7242861,-0.24912167,1.0
0.72924554,-0.38089633,1.0
0.38523233,-0.8207028,1.0
0.27785242,0.54194236,0.0
0.20925355,0.4093914,0.0
0.6506802,-0.75284076,1.0
0.6774591,-0.62385106,1.0
0.6047728,0.30698013,0.0
0.20038712,0.5203216,0.0
0.5725554,-0.49956775,1.0
0.6393485,-0.9796171,1.0
0.78472567,-0.43339443,1.0
0.36542475,0.6561458,0.0
0.74343383,-0.17829514,1.0
0.5885763,0.7149577,0.0
0.8083894,0.9930527,0.0
0.7424233,0.25688505,0.02047354
0.2764697,-0.34203243,0.089551
0.8140372,-0.20764661,1.0
0.07308304,0.4124391,0.0
0.7947991,0.08562088,0.7456318
0.20046484,0.73146963,0.0
0.48296618,0.73805046,0.0
0.44580746,0.23722625,0.0
0.60630107,0.165133,0.0
0.024168015,0.67919755,0.0
0.6069913,0.86193395,0.0
0.75904596,0.04580784,0.7353267
0.43226266,0.7342408,0.0
0.21273005,0.2881775,0.0
0.6596911,-0.9602885,1.0
0.41773975,-0.7141044,1.0
0.82078063,0.8847406,0.0
0.12940884,-0.83622646,0.99866986
0.5363859,0.62259126,0.0
0.9792099,-0.6247082,1.0
0.15852642,0.4231248,0.0
0.58261263,0.491935,0.0
0.28837013,0.39900637,0.0
0.14039433,-0.3715737,0.0
0.5080595,-0.5968003,1.0
0.8248365,0.8632052,0.0
0.78641737,-0.6349325,1.0
0.50545,0.7235849,0.0
0.56009495,0.31692934,0.0
0.728758,-0.04176712,0.88690984
0.9638219,-0.53933716,1.0
0.18998027,-0.965189,1.0
0.776459,0.4210248,0.0
0.6003485,-0.3491993,1.0
0.8127639,0.21702075,0.3458767
0.07110357,-0.5654564,0.044258118
0.049553514,-0.04507923,0.0
0.031365275,0.36448622,0.0
0.46961284,0.6075237,0.0
0.067521095,0.08808541,0.0
0.24703252,0.18822598,0.0
0.8402252,-0.30107498,1.0
0.2506919,0.057216406,0.0
0.97492933,0.53967595,0.016281128
0.15778959,-0.29594278,0.0
0.6712482,-0.30238152,1.0
0.51660573,0.32840705,0.0
0.062144637,-0.7087953,0.43777707
0.50516295,0.48341584,0.0
0.6008153,-0.678411,1.0
0.6843574,-0.46794105,1.0
0.22682762,0.52903175,0.0
0.04490888,0.19319916,0.0
0.90583956,0.8678813,0.0
0.9495585,-0.72140574,1.0
0.6660868,-0.23338675,1.0
0.67433333,0.51470447,0.0
0.66828275,0.08582139,0.20388633
0.19496727,0.9447489,0.0
0.13789082,-0.13407445,0.0
0.15585256,-0.97127485,1.0
0.4675176,-0.5462427,1.0
0.28530383,0.6971729,0.0
0.33933175,-0.3409269,0.30983102
0.6111934,-0.76329064,1.0
0.8816732,-0.6891875,1.0
0.7799152,0.09141755,0.6640526
0.78045475,-0.31434894,1.0
0.42600858,-0.56032324,1.0
0.56710625,-0.108876705,0.46030298
0.8178319,0.6234369,0.0
0.16961777,-0.91837215,1.0
0.37222528,-0.17292285,0.006962925
0.4670931,0.9518883,0.0
0.59967995,-0.92948675,1.0
0.5652412,0.23303223,0.0
0.71761966,-0.45510173,1.0
0.44654477,0.35911012,0.0
0.026919842,-0.5785105,0.0021532774
0.8287735,-0.19785929,1.0
0.14868975,0.72347903,0.0
0.2414056,0.13831592,0.0
0.017822146,0.52730036,0.0
0.9377011,-0.27974367,1.0
0.08541489,-0.380584,0.0
0.74601793,0.5127888,0.0
0.65126693,0.73585415,0.0
0.28593493,0.12285471,0.0
0.71811986,-0.5071709,1.0
0.92986643,-0.6628914,1.0
0.6434854,-0.7176893,1.0
0.52756846,-0.06626439,0.15441617
0.728668,0.5223057,0.0
0.9230244,0.949805,0.0
0.8167914,-0.7558389,1.0
0.5821351,-0.16027522,0.71427494
0.052652955,0.7917416,0.0
0.7747098,-0.7851076,1.0
0.26231205,-0.020586252,0.0
0.01571548,0.5876057,0.0
0.52231526,0.6589005,0.0
0.90973616,0.15092254,0.94069755
0.5663383,0.8506746,0.0
0.42589343,-0.9099829,1.0
0.2892437,0.53388405,0.0
0.20052636,0.7714734,0.0
0.20071983,-0.9304445,1.0
0.23769772,-0.47755647,0.3620862
0.6676154,-0.79559135,1.0
0.47588658,0.296623,0.0
0.50200725,-0.99120593,1.0
0.98109496,0.5528066,0.010801524
0.10908425,0.84650445,0.0
0.5252011,0.93118787,0.0
0.92795575,0.8241651,0.0
0.3864174,0.09409404,0.0
0.014824986,0.45706248,0.0
0.16971886,-0.31593013,0.0
0.66416717,-0.18719435,0.99543965
0.03192854,-0.53506947,0.0
0.73642457,0.85549617,0.0
0.26043212,0.42467856,0.0
0.6424663,0.7623234,0.0
0.79455245,0.14598966,0.52801186
0.8064107,-0.75951767,1.0
0.015023351,-0.2013123,0.0
0.6927742,0.42220974,0.0
0.16168678,0.45982242,0.0
0.019902706,0.22266793,0.0
0.6368003,0.6863055,0.0
0.5032644,0.24673915,0.0
0.5112947,0.46310544,0.0
0.53609383,0.4404304,0.0
0.465338,0.87020373,0.0
0.9291154,0.51443124,4.827976e-06
0.78989816,0.80633426,0.0
0.5672107,0.5645087,0.0
0.21214819,0.11175299,0.0
0.6124371,-0.9121978,1.0
0.011807442,0.9629681,0.0
0.43847013,0.7550497,0.0
0.2622789,-0.5552633,0.7517746
0.6243279,0.021861315,0.23948726
0.89425373,0.4979527,0.0
0.684955,0.14215899,0.1034894
0.17064238,0.26575184,0.0
0.03552878,-0.600106,0.031811774
0.89598584,-0.10882282,1.0
0.20340037,-0.7928159,1.0
0.9384024,-0.47891164,1.0
0.55176556,0.6467302,0.0
0.47815692,-0.82799435,1.0
0.16888678,-0.33009434,0.0
0.6543988,0.74928665,0.0
0.5510824,-0.6831653,1.0
0.088017344,0.90865254,0.0
0.11788392,-0.6593127,0.5029004
0.10993981,0.76873064,0.0
0.52282536,0.18881106,0.0
0.9326248,0.6383543,0.0
0.32677805,0.9190004,0.0
0.8147979,0.23797727,0.28100038
0.78163636,0.6360278,0.0
0.7170769,-0.9376147,1.0
0.04776752,0.29317164,0.0
0.5521995,0.20853066,0.0
0.30402339,0.014601231,0.0
0.90125465,0.36722565,0.19823328
0.010713577,9.536743e-07,0.0
0.23773825,0.54243135,0.0
0.016010165,0.5922599,0.0
0.25695372,-0.3249166,0.019593209
0.6268656,0.34828758,0.0
0.57979786,0.4391842,0.0
0.71977603,0.10587001,0.344318
0.16311145,-0.7652793,0.9733522
0.28094316,-0.5845778,0.90006995
0.20908642,0.4984808,0.0
0.24335992,0.008051157,0.0
0.6880121,-0.35735464,1.0
0.33704913,-0.06999874,0.0
0.08384669,-0.54380965,0.034265786
0.8615265,0.29275155,0.285443
0.24740136,0.8224139,0.0
0.014400005,-0.17515898,0.0
0.9026263,-0.30628514,1.0
0.7317699,0.45048094,0.0
0.55816746,-0.08598542,0.33690003
0.1379993,0.91172624,0.0
0.7995956,0.50675464,0.0
0.4366114,-0.4204545,0.9473871
0.7415229,0.2950225,0.0
0.79984593,0.15058398,0.5345923
0.40883124,0.44299865,0.0
0.818496,-0.2746408,1.0
0.99393296,-0.8559792,1.0
0.5447501,-0.99630165,1.0
0.51849604,0.1903913,0.0
0.04732001,-0.3981762,0.0
0.91503537,-0.14600396,1.0
0.5596857,0.26722503,0.0
0.10300779,0.831774,0.0
0.07994008,0.6022363,0.0
0.8138062,-0.20049381,1.0
0.017352104,0.45451903,0.0
0.7246319,0.39291286,0.0
0.817327,-0.59803677,1.0
0.75641394,0.13729024,0.38983446
0.058138847,0.6088877,0.0
0.4512272,0.07595825,0.0
0.9197848,-0.16341186,1.0
0.3116449,0.45156312,0.0
0.48503256,-0.49444938,1.0
0.4829358,0.24702692,0.0
0.49852395,0.44796848,0.0
0.58591866,-0.8186836,1.0
0.45956028,0.6121118,0.0
0.75979424,0.116527796,0.48209837
0.2783383,0.5646672,0.0
0.24881971,-0.3215208,0.007324606
0.09683156,-0.10309291,0.0
0.7227559,0.5331657,0.0
0.818172,-0.26416397,1.0
0.60728896,0.54448175,0.0
0.32444048,0.24950242,0.0
0.7003447,-0.48006916,1.0
0.2886505,0.35467696,0.0
0.6085937,-0.076297045,0.52477664
0.7701107,0.9716964,0.0
0.7455088,0.59720135,0.0
0.7352122,0.09845424,0.43938446
0.28833568,-0.61921835,0.9786352
0.23238134,0.5070503,0.0
0.059294462,-0.4318242,0.0
0.19384491,-0.7047484,0.9341147
0.58976793,-0.45896125,1.0
0.08157194,0.8225286,0.0
0.3330263,-0.09090567,0.0
0.8635776,0.077982664,0.9696765
0.76523614,-0.58192873,1.0
0.6720445,-0.71056294,1.0
0.8656,0.9627547,0.0
0.84630823,0.9173889,0.0
0.5986444,0.10547924,0.0030503273
0.17466176,-0.54308176,0.32584667
0.9424454,-0.01714325,1.0
0.07351029,-0.75943756,0.6753063
0.08030641,0.37604904,0.0
0.60844254,0.8269563,0.0
0.20688367,0.80103827,0.0
0.26378334,-0.008420706,0.0
0.39705575,-0.46180153,0.93589914
0.57160556,0.24523306,0.0
0.9020221,-0.30816174,1.0
0.34783447,0.15846825,0.0
0.267923,-0.802794,1.0
0.33853245,-0.608917,1.0
0.9694698,-0.25316882,1.0
0.19330943,0.9389944,0.0
0.29365277,-0.35925388,0.19020015
0.07084501,-0.073535204,0.0
0.5182848,-0.8859129,1.0
0.31489444,-0.12324023,0.0
0.5792062,-0.19019842,0.8003137
0.9816333,0.6807668,0.0
0.103521705,-0.2786677,0.0
0.9587407,-0.4608984,1.0
0.34441638,-0.445971,0.71575826
0.10130572,-0.3472743,0.0
0.31792247,0.7547133,0.0
0.26690602,0.11987901,0.0
0.69250035,-0.6920495,1.0
0.96983886,0.4075017,0.33875072
0.24163568,0.71215963,0.0
0.007850766,0.5515299,0.0
0.9323094,-0.47315884,1.0
0.69047153,-0.76160073,1.0
0.098436594,-0.032840014,0.0
0.3316468,0.68904424,0.0
0.77523136,-0.117185116,1.0
0.64717853,0.8951204,0.0
0.5267551,0.23132348,0.0
0.9023044,-0.50359774,1.0
0.9799869,0.6710603,0.0
0.343933,-0.42881894,0.65352976
0.46564448,-0.20186067,0.35428414
0.48260236,0.15105152,0.0
0.9018432,-0.9965606,1.0
0.42847967,0.34821105,0.0
0.14768338,-0.17840385,0.0
0.69986,0.15673995,0.11152756
0.6238303,-0.28248048,1.0
0.27290392,-0.41430068,0.28786045
0.90122306,0.995039,0.0
0.056560755,-0.07831025,0.0
0.6530678,-0.031805515,0.55796003
0.6573056,-0.38930202,1.0
0.6023854,0.412611,0.0
0.70028234,0.97417545,0.0
0.38930953,-0.8748641,1.0
0.20444548,-0.2792635,0.0
0.6182898,0.9198828,0.0
0.27081442,-0.18719673,0.0
0.92647326,0.46823192,0.03295991
0.082757115,0.7955959,0.0
0.72155213,0.76455736,0.0
0.5519326,-0.9798732,1.0
0.04832971,0.18305755,0.0
0.88996434,0.47052455,0.0
0.38479745,-0.22565389,0.122391135
0.43864536,0.09826231,0.0
0.98075354,0.28695798,0.81455827
0.94462955,0.40904427,0.23036027
0.24724567,-0.9367883,1.0
0.745399,-0.20598745,1.0
0.3380109,0.59804106,0.0
0.2484144,-0.3789916,0.09710938
0.8926588,-0.8554709,1.0
0.31162834,-0.11719632,0.0
0.540205,0.90186596,0.0
0.13888311,0.58782053,0.0
0.019155383,-0.31630135,0.0
0.65073824,0.25544286,0.0
0.024680614,-0.5808277,0.0020097792
0.936005,-0.13794518,1.0
0.48990202,0.5458739,0.0
0.09490454,0.8796661,0.0
0.28462315,-0.27900982,0.007652551
0.05515647,-0.56186795,0.014068425
0.14714909,-0.5591352,0.2672301
